DOI	Title	Authors	Abstract	Journal	Date
10.2337/db25-0282	trem2+ macrophage alleviate renal tubule lipid accumulation and ferroptosis in diabetic nephropathy by repress il-1β-mediated cd36 expression .	Wang X, Wan J, Wang C, Tong Y, Chen Y, Wang X, Liu J, Li Q, Dong Z, Hong Q, Sun X, Cai G, Ouyang Q, Chen X	the presence of macrophage surround lipotoxic tubular epithelial cell ( tec ) be a hallmark of diabetic nephropathy ( dn ) . nevertheless , the mechanism of communication between these cell type be not well understood . previous study have reveal a unique subset of macrophage that express trigger receptor express on myeloid cell 2 ( trem2 ) in kidney of human patient and mouse with dn . here , we explore the characteristic and the function of trem2+ macrophage in the progress of dn . rna-sequencing of macrophage in kidney of trem2 knockout ( ko ) mouse feed a high-fat diet plus streptozotocin ( hfd/stz ) reveal functional enrichment of metabolic process , cytokine production , positive regulation of extracellular signal-regulated kinase ( erk ) cascade , and the regulation of phagocytosis . in vivo study demonstrate that trem2+ macrophage reduce lipid accumulation and mitigate ferroptosis of tec in diabetic mouse . mechanistically , trem2-deficient macrophage amplify the production of interleukin-1β ( il-1β ) through activate the erk signal pathway . furthermore , il-1β trigger cd36 expression via the transcription factor nf-κb . bioinformatics and functional assay show nf-κb bind the cd36 promoter , which directly bound to the promoter of cd36 to facilitate it transcription . inhibition of nf-κb blocked il-1β-induced cd36 production . this mechanism be exacerbate in trem2-deficient macrophage , which release excess il-1β to activate nf-κb in tubular cell , promote cd36-dependent lipid uptake and ferroptosis . additionally , we find trem2 play a role in enhance the phagocytosis and clearance of ferroptotic cell by bone marrow-derived macrophage . altogether , our result suggest trem2+ macrophage maintain homeostasis of the renal microenvironment and exert a protective function in dn . level of trigger receptor express on myeloid cell 2 ( trem2 ) in macrophage be increase in human patient and in mouse with diabetic nephropathy . trem2 suppress the extracellular signal-regulated kinase signal pathway , thereby inhibit il-1β production in macrophage . macrophage trem2 deficiency exacerbate tubular cell lipid deposition and ferroptosis by increase cd36 expression in an il-1β-dependent manner .	Diabetes	03/10/2025
10.1016/0888-7543(95)80042-k	a 1.8-mb yac contig span three member of the receptor tyrosine kinase gene family ( pdgfra , kit , and flk1 ) on mouse chromosome 5 .	Brunkow ME, Nagle DL, Bernstein A, Bucan M	we construct a yeast artificial chromosome ( yac ) contig span the gene encode kit ( kit ) , the platelet-derived growth factor alpha receptor ( pdgfra ) , and fetal liver kinase 1 ( flk1 ) , three member of a receptor tyrosine kinase gene family locate in the central portion of mouse chromosome 5. the orientation of yac clone and the extent of their overlap be determine by `` probe content mapping , '' that be , hybridization analysis of yac clone use the available gene probe and yac end sequence . for four yac clone , which constitute a minimal set span 1.8 mb , a detailed restriction map be construct . this map , in conjunction with the previously publish long-range restriction map , indicate the order , the physical distance , and the relative transcriptional orientation of the pdgfra , kit , and flk1 gene . the yac clone and correspond yac end probe present here provide an important resource for the molecular analysis of a cluster of developmental mutation , namely dominant white spotting ( w ) , patch ( ph ) , recessive spotting ( r ) , and rump-white ( rw ) , associate with this chromosomal region .	Genomics	20/01/1995
10.1016/S1473-3099(25)00476-1	long covid associate with sars-cov-2 reinfection among child and adolescent in the omicron era ( recover-ehr ) : a retrospective cohort study .	Zhang B, Wu Q, Jhaveri R, Zhou T, Becich MJ, Bisyuk Y, Blanceró F, Chrischilles EA, Chuang CH, Cowell LG, Fort D, Horowitz CR, Kim S, Ladino N, Liebovitz DM, Liu M, Mosa ASM, Schwenk HT, Suresh S, Taylor BW, Williams DA, Morris JS, Forrest CB, Chen Y	post-acute sequela of sars-cov-2 infection ( pasc ) remain a major public health challenge . although previous study have focus on characterise pasc in child and adolescent after an initial infection , the risk of pasc after reinfection with the omicron variant remain unclear . we aim to assess the risk of pasc diagnosis ( u09.9 ) and symptom and condition potentially relate to pasc in child and adolescent after a sars-cov-2 reinfection during the omicron period . this retrospective cohort study use data from 40 child 's hospital and health institution in the usa participating in the researching covid to enhance recovery ( recover ) initiative . we include patient young than 21 year at the time of cohort entry ; with document sars-cov-2 infection after jan 1 , 2022 ; and who have at least one health-care visit within 24 month to 7 day before the first infection . the second sars-cov-2 infection be confirm by positive pcr , antigen test , or a diagnosis of covid-19 that occur at least 60 day after the first infection . the primary endpoint be a clinician-documented diagnosis of pasc ( u09.9 ) . secondary endpoint be 24 symptom and condition previously identify a be potentially relate to pasc . we use the modified poisson regression model to estimate the relative risk ( rr ) between the second and first infection episode , adjust for demographic , clinical , and health-care utilisation factor use exact and propensity-score matching . we identify 407 300 ( 87·5 % ) of 465 717 eligible child and adolescent with a first infection episode and 58 417 ( 12·5 % ) with a second infection episode from jan 1 , 2022 , to oct 13 , 2023 , in the recover database . 233 842 ( 50·2 % ) patient be male and 231 875 ( 49·8 % ) be female . the mean age be 8·17 year ( sd 6·58 ) . the incident rate of pasc diagnosis ( u09.9 ) per million people per 6 month be 903·7 ( 95 % ci 780·9-1026·5 ) in the first infection group and 1883·7 ( 1565·1-2202·3 ) in the second infection group . reinfection be associate with a significantly increase risk of an overall pasc diagnosis ( u09.9 ) ( rr 2·08 [ 1·68-2·59 ] ) and a range of symptom and condition potentially relate to pasc ( rr range 1·15-3·60 ) , include myocarditis , change in taste and smell , thrombophlebitis and thromboembolism , heart disease , acute kidney injury , fluid and electrolyte disturbance , generalise pain , arrhythmia , abnormal liver enzyme , chest pain , fatigue and malaise , headache , musculoskeletal pain , abdominal pain , mental ill health , pot or dysautonomia , cognitive impairment , skin condition , fever and chill , respiratory sign and symptom , and cardiovascular sign and symptom . child and adolescent face a significantly high risk of various pasc outcomes after reinfection with sars-cov-2 . these finding add to previous evidence link paediatric long covid to multisystem effect and highlight the need to promote vaccination in young population and support ongoing research to good understand pasc , identify high-risk subgroup , and improve prevention and care strategy . national institute of health .	The Lancet. Infectious diseases	30/09/2025
10.1126/sciimmunol.adu6730	vaccination-induced t cell response maintain polyclonality with high antigen receptor avidity .	Kocher K, Drost F, Tesfaye AM, Moosmann C, Schülein C, Grotz M, D'Ippolito E, Graw F, Spriewald B, Busch DH, Bogdan C, Tenbusch M, Schubert B, Schober K	clonal expansion be a hallmark of adaptive immunity and have be challenge to investigate in human in a standardized manner compare with animal model . we study a cohort of 29 healthy individual who receive three mrna vaccination against sars-cov-2 before a breakthrough infection . we characterize the magnitude , phenotype , and clonal composition of cd8 t cell response against 16 epitope specificity by elispot ; flow cytometry ; and single-cell rna , protein , and t cell receptor ( tcr ) sequencing . one hundred six tcrs from five epitope-specific repertoire be reexpressed and test for peptide sensitivity . whereas vaccination-recruited t cell repertoire be enrich for high-avidity tcrs , differential clonal expansion be not link to fine avidity difference . instead , maintenance of polyclonality ensure robustness in counteract viral mutational escape through altered epitope . decipher the functionality of human antigen-specific t cell repertoires instruct our understanding of human t cell biology and may guide the development of vaccine and other immunotherapy .	Science immunology	03/10/2025
10.1080/15502783.2025.2568048	a randomized , placebo-controlled , crossover clinical trial to evaluate the effect of a turmeric formulation on muscle soreness and function recovery in moderately active adult .	Schönenberger KA, Laval J, Woods T, Truillet R, Naranjo-Modad S, Mettler S, Fança-Berthon P	turmeric may alleviate exercise-induced muscle soreness ( delay onset muscle soreness ) and muscular function loss due to the strong anti-inflammatory and antioxidant activity of it active compound , the curcuminoids . the primary objective of this trial be to evaluate the effect of a highly bioavailable turmeric formulation on delayed onset muscle soreness in male adult . in a randomized , double-blind , placebo-controlled , crossover trial ( clinicaltrials.gov nct04946981 ) , 44 moderately active adult ( 34 male , 10 female , mean [ sd ] age = 33.7 [ 6.4 ] year ) ingest a turmeric formulation ( 300 mg/day , thereof 90 mg of active curcuminoids ) or placebo for five day . on the second day , muscle damage be induce with exercise ( 30 min downhill run at 70 % vo₂ max ) . immediately before and 0 , 24 , 48 , and 72 hour post-exercise , muscle soreness during squat on quadriceps ( visual analog scale ) , muscular function ( knee extension dynamometer ) , muscle power ( vertical jump test ) , muscle damage ( serum creatine kinase ) , range of motion ( knee flexion ) , and perceive wellness and wellbeing ( questionnaire ) be assess . during exercise , exhaustion be assess use the borg rating of perceived exertion . the primary trial population consist of the male participant , outcome in female be consider exploratory . adjust least square mean with standard error ( se ) be obtain from mixed model for repeated measure . there be no significant difference between the turmeric formulation and placebo in muscle soreness area under the curve from pre-exercise to 72 hour post-exercise and at all timepoints , except for a trend observe in male 72 hour after exercise ( adjust mean [ se ] for difference from placebo = -4.8 [ 2.7 ] mm , p = 0.0776 ) . muscle soreness recovery ( difference between soreness at 72 hour and maximal post-exercise soreness ) be significantly great with the turmeric formulation compare to placebo ( adjust mean [ se ] for difference from placebo = -10.7 % [ 4.3 % ] , p = 0.0184 for the male participant , and -7.9 % [ 3.6 % ] , p = 0.0346 for the total sample ) . furthermore , in male , the decrease from pre-exercise to 24 hour after exercise in isokinetic peak torque be significantly low with the turmeric formulation ( adjust mean [ se ] for difference from placebo = 11.0 [ 4.9 ] nm , p = 0.0275 ) , a be the decrease in isokinetic max rep work ( adjust mean [ se ] for difference from placebo = 11.6 [ 4.9 ] j , p = 0.0195 ) , while vertical jump peak power at 24 hour after exercise be high ( median [ interquartile range ] with the turmeric formulation vs. placebo = 931.1 [ 825.9 ; 1001.1 ] w vs. 916.5 [ 824.8 ; 989.5 ] w , p = 0.0445 ) . supplementation with the turmeric formulation can accelerate exercise-induced muscle soreness recovery and could attenuate muscular function loss and improve performance after unaccustomed exercise in young , moderately active , male adult .	Journal of the International Society of Sports Nutrition	01/01/2025
10.1002/advs.202509695	dcaf12 ubiquitin ligase promote lung cancer metastasis by modulate the tric/cct chaperonin complex .	Wang Z, Huang H, Huang K, Cui X, Wu L, Lin R, Zhao Z, Chen H, Zheng C, Jin W, Chen S, Chen J, Xu Y, Wei D	metastasis be the primary challenge in lung cancer treatment . although proteostasis support tumor growth , the mechanism by which ubiquitin ligases reprogram chaperone network to drive metastasis be poorly understood . in this study , it be reveal that ddb1-cul4-associated factor ( dcaf12 ) , a substrate receptor for cul4-ring ubiquitin ligases , regulate metastatic progression through ubiquitin-mediated proteostatic reprogramming . dcaf12 depletion suppresses tumor cell migration and stemness in vitro and reduces pulmonary/hepatic metastasis in vivo . mechanistically , dcaf12 catalyze the non-degradative ubiquitination of tric/cct subunit , enhance chaperonin assembly and folding of cytoskeletal effector ( β-actin/tubulin ) and oncogenic client ( stat3/raptor/mlst8 ) , thereby activate the yap , stat3 , and mtor pathway . both genetic knockdown and pharmacological blockade ( via hsf1a ) of this axis potently inhibit metastasis . clinically , dcaf12 overexpression be correlate with yap/stat3 activation , advanced metastasis , and poor survival . three key insight be reveal : 1 ) ubiquitination-mediated tric/cct regulation a a metastatic switch , 2 ) dcaf12 a an oncogenic proteostasis hub , and 3 ) therapeutic potential validate through multimodal targeting . these finding establish the dcaf12-tric/cct axis a a mechanistically novel target that simultaneously disrupt cytoskeletal dynamic and oncogenic signaling , make it a promising therapeutic strategy for metastatic lung cancer .	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	05/10/2025
10.1016/S0140-6736(25)00861-X	budesonide-formoterol versus salbutamol a reliever therapy in child with mild asthma ( care ) : a 52-week , open-label , multicentre , superiority , randomise control trial .	Hatter L, Holliday M, Oldfield K, Kearns C, Barry T, Black M, Bruce P, Colman A, Dickinson E, Eathorne A, Harwood M, Hills T, Lamb R, Kerse K, Krishnamoorthy S, Martindale J, Semprini A, Shortt N, McNamara D, Byrnes CA, Dalziel SR, Bush A, Weatherall M, Beasley R	combination inhale corticosteroid-formoterol reliever monotherapy reduce the rate of asthma attack compare to short-acting β ( 2 ) -agonist ( saba ) reliever monotherapy in adult . it comparative efficacy in child have not be establish . care be a 52-week , open-label , parallel-group , multicentre , superiority , randomise control trial in child age 5-15 year with asthma use saba reliever monotherapy at 15 clinical trial site in new zealand . participant be randomly assign ( 1:1 ) to either budesonide 50 μg-formoterol 3 μg , two actuation a need , or salbutamol 100 μg , two actuation a need . the primary outcome be asthma attack a rate per participant per year . this trial be register with the australian new zealand clinical trial registry , actrn12620001091998 . from jan 28 , 2021 , to june 23 , 2023 , we assess 382 participant for eligibility . we randomly assign 360 ( 94 % ) participant to treatment ( 179 [ 50 % ] to the budesonide-formoterol group and 181 [ 50 % ] to the salbutamol group ) . the annualised rate of asthma attack be lower in the budesonide-formoterol group than in the salbutamol group-cluster-adjusted rate 0·23 versus 0·41 per participant per year ( relative rate 0·55 [ 95 % ci 0·35-0·86 ] ; p=0·012 ) . the number of participant with at least one adverse event be 162 ( 91 % ) in the budesonide-formoterol group and 167 ( 92 % ) in the salbutamol group ( odds ratio 0·79 [ 95 % ci 0·35-1·79 ] ) . in child age 5-15 year with mild asthma , budesonide-formoterol reliever monotherapy be superior to salbutamol for prevent asthma attack , with a similar safety profile . health research council of new zealand , cure kid new zealand , and the barbara basham medical charitable trust ( manage by perpetual guardian ) .	Lancet (London, England)	04/10/2025
10.1186/s12916-025-04311-8	investigate the relationship of plasma micrornas and colorectal cancer risk use genetic evidence .	Bouras E, Papagiannopoulos CK, Mustafa R, Sobieski D, Schmit SL, Wu AH, Brenner H, Li CI, Chan AT, Pellatt AJ, Zheng W, Keku TO, Moreno V, Um CY, Van Guelpen B, Phipps AI, Pai RK, Lewis SJ, Martin RM, Gunter MJ, Peters U, Dehghan A, Tsilidis KK	micrornas ( mirnas ) be short , single-stranded rna that function a post-transcriptional regulator of gene expression . although circulate mirnas have be link to carcinogenesis , they have not yet be systematically investigate in relation to risk of colorectal cancer ( crc ) . we use mendelian randomization ( mr ) and colocalization analysis to investigate the association of genetically predict plasma mirna concentration ( 2083 mirnas in 710 individual ) with risk of crc ( 58,221 case and 67,694 control ) . for mirnas associate with crc risk , we also investigate their association with circulate plasma protein ( 4907 protein in 35,559 participant ) , bidirectionally , use mr. we perform pathway enrichment analysis ( pea ) to explore downstream molecular pathway . association of five mirnas with crc be find in mr and support in colocalization analysis . specifically , mir-146a-5p , mir-21-5p , and mir-4707-3p be positively , and mir-1908-5p and mir-6810-3p be inversely associate with crc risk . several protein association be find for these mirnas ( range of protein with p < 0.05 : 78-796 ; 211 with fdr < 5 % ) , and 11 pathway be identify in pea , include regulation of erb-b2 receptor tyrosine kinase 4 ( mir-6810-3p ) and insulin-like growth factor pathway ( mir-1908-5p ) . our result support a potential implication of mir-146a-5p , mir-21-5p , mir-4707-3p , mir-1908-5p , and mir-6810-3p to crc risk . however , their downstream effect should be elucidate before they can be utilize a preventive target .	BMC medicine	02/10/2025
10.1038/s41593-025-02068-0	single-dose psilocybin rapidly and sustainably relief allodynia and anxiodepressive-like behavior in mouse model of chronic pain .	Hammo A, Wisser S, Cichon J	chronic pain and mood disorder co-occur , exacerbate one another and share neurobiological mechanism , but whether a single intervention could promptly alleviate both condition remain unclear . here , in two chronic pain model , we show that a single dose of psilocybin induces a rapid and sustain reversal of both mechanical allodynia and anxiodepression-like state in adult male and female mouse . use local psilocin injection , the key active metabolite of psilocybin , we show that the engagement of prefrontal cortical circuit be critical for the concurrent alleviation of both condition . two-photon calcium imaging reveals that psilocin rapidly normalizes chronic pain-associated hyperactivity in anterior cingulate cortex layer 2/3 pyramidal neuron . pharmacologic manipulation with full agonist of 5-ht ( 2a ) and 5-ht ( 1a ) receptor replicate some , but not all , of psilocin 's cellular and behavioral effect , suggest that psilocin 's action arise from partial agonism at these receptor within share circuit govern pain and mood processing .	Nature neuroscience	02/10/2025
10.1038/s43018-025-01054-6	aberrant expression of slamf6 constitute a targetable immune escape mechanism in acute myeloid leukemia .	Sandén C, Landberg N, Peña-Martínez P, Thorsson H, Daga S, Puente-Moncada N, Rodriguez-Zabala M, von Palffy S, Rissler M, Lazarevic V, Juliusson G, Ohlin M, Hyrenius-Wittsten A, Orsmark-Pietras C, Lilljebjörn H, Ågerstam H, Fioretos T	immunotherapy have show limited success in acute myeloid leukemia ( aml ) , indicate an incomplete understanding of the underlying immunoregulatory mechanism . here we identify an immune evasion mechanism present in 60 % of aml case , wherein primitive aml cell aberrantly express the lymphoid surface protein slamf6 ( signal lymphocyte activation molecule family member 6 ) . knockout of slamf6 in aml cell enable t cell activation and highly efficient killing of leukemia cell in coculture system , demonstrate that slamf6 protects aml cell from recognition and elimination by the immune system in a mode analogous to the program cell death protein-ligand ( pdl1/pd1 ) axis . target slamf6 with an antibody against the slamf6 dimerization site inhibit the slamf6-slamf6 interaction and induces t cell activation and killing of aml cell both in vitro and in humanize in vivo model . in conclusion , we show that aberrant expression of slamf6 be a common and targetable immune escape mechanism that could pave the way for immunotherapy in aml .	Nature cancer	03/10/2025
10.1038/s41467-025-63885-2	sfpq-tfe3 reciprocally regulate mtorc1 and induces lineage plasticity in a mouse model of renal tumorigenesis .	Asrani K, Amaral A, Woo J, Abadchi SN, Vidotto T, Imada E, Skaist A, Feng K, Liu HB, Kasbe M, Satou Y, Baba M, Oike Y, Outeda P, Watnick T, Rosenberg AZ, Schmidt LS, Linehan WM, Argani P, Lotan TL	mit/tfe gene fusion like sfpq-tfe3 drive both epithelial ( translocation rcc ) and mesenchymal ( pecomas ) neoplasm . however , no mouse model for sfpq-tfe3-related tumor exist and the underlying mechanism of lineage plasticity remain unclear . here , we demonstrate that constitutive murine renal expression of sfpq-tfe3 disrupts kidney development with early neonatal renal failure and death , while post-natal induction induces infiltrative epithelioid tumor , that morphologically and transcriptionally resemble human pecomas , with strong activation of mtorc1 signal via increase v-atpase expression . remarkably , sfpq-tfe3 expression be sufficient to induce lineage plasticity , with down-regulation of the pax2/pax8 nephric lineage factor and tubular epithelial marker , and up-regulation of pecoma differentiation marker in transgenic mouse , cell line and human trcc . mtor inhibition downregulates sfpq-tfe3 expression and rescue pax8 expression and transcriptional activity in vitro . these data provide evidence of an epithelial cell-of-origin for tfe3-driven pecomas , highlight a reciprocal role for sfpq-tfe3 and mtor in drive lineage plasticity in the kidney .	Nature communications	03/10/2025
10.1038/s41467-025-63885-2	sfpq-tfe3 reciprocally regulate mtorc1 and induces lineage plasticity in a mouse model of renal tumorigenesis .	Asrani K, Amaral A, Woo J, Abadchi SN, Vidotto T, Imada E, Skaist A, Feng K, Liu HB, Kasbe M, Satou Y, Baba M, Oike Y, Outeda P, Watnick T, Rosenberg AZ, Schmidt LS, Linehan WM, Argani P, Lotan TL	mit/tfe gene fusion like sfpq-tfe3 drive both epithelial ( translocation rcc ) and mesenchymal ( pecomas ) neoplasm . however , no mouse model for sfpq-tfe3-related tumor exist and the underlying mechanism of lineage plasticity remain unclear . here , we demonstrate that constitutive murine renal expression of sfpq-tfe3 disrupts kidney development with early neonatal renal failure and death , while post-natal induction induces infiltrative epithelioid tumor , that morphologically and transcriptionally resemble human pecomas , with strong activation of mtorc1 signal via increase v-atpase expression . remarkably , sfpq-tfe3 expression be sufficient to induce lineage plasticity , with down-regulation of the pax2/pax8 nephric lineage factor and tubular epithelial marker , and up-regulation of pecoma differentiation marker in transgenic mouse , cell line and human trcc . mtor inhibition downregulates sfpq-tfe3 expression and rescue pax8 expression and transcriptional activity in vitro . these data provide evidence of an epithelial cell-of-origin for tfe3-driven pecomas , highlight a reciprocal role for sfpq-tfe3 and mtor in drive lineage plasticity in the kidney .	Nature communications	03/10/2025
10.7150/thno.117582	gpx1-driven selenium nanoplatform reprograms mams-mediated organelle crosstalk to reverse inflammatory adipose expansion in thyroid eye disease .	Tan Y, Zhang F, Cao J, Feng L, Xie B, Gao L, Chen X, Yan Z, Xiong W	background : thyroid eye disease ( ted ) be a multifactorial autoimmune disorder with limited therapeutic option due to the complexity of it oxidative , metabolic , and inflammatory network . this study aim to develop a selenium-based nanoplatform that target mitochondria-er interaction to reverse inflammatory adipose expansion in ted . method : we design a dual-responsive selenium nanoparticle ( se @ lnt ) modify with lentinan , capable of ros/ph-triggered release . human primary orbital fibroblast , bioinformatic analysis of public datasets , and ted mouse model be use to investigate the therapeutic mechanism . result : se @ lnt undergoes intracellular metabolic conversion into selenocysteine , which enhance gpx1 activity and promotes redox balance . it exert triple regulatory effect by stabilize mitochondrial membrane to reduce mtdna leakage , downregulating grp75 to normalize mam contact and calcium flux , and suppress perk-eif2α-atf4 signal to relieve er stress . transcriptomic profiling reveals multi-target modulation of immune-stromal interaction . in vivo , se @ lnt achieves orbital targeting , rapid hepatic-renal clearance , and significant reduction of adipose expansion with immune remodel . conclusion : se @ lnt offer the first mams-targeted nanotherapy for ted by reprogramming organelle crosstalk , restore metabolic-immune homeostasis , and modify disease progression at the subcellular level .	Theranostics	01/01/2025
10.1186/s12967-025-06818-3	vista express on tumor cell be regulate by m6a and influence immune microenvironment through stat3/ccl22 in nsclc .	Xu H, Shen K, Jiang B, Xu Q, Li B, Ke Z, Cheng Q, Zhu S, Wang D, Song Y, Lv T	immunotherapy be play an increasingly vital role in the treatment of non-small cell lung cancer ( nsclc ) , yet the challenge of immune evasion remain prevalent . therefore , investigate the regulatory mechanism of the tumor immune microenvironment could yield significant benefit . this study utilized differential expression analysis , wgcna , and lasso-cox to analyze the gse126044 dataset , identify n6-methyladenosine ( m6a ) -related molecule that play significant role in immunotherapy . the m6a modification of the molecule be validate through m6a dot blot , merip , rna pull-down and rna stability assay . their impact on the biological behavior of tumor cell ( tc ) be evaluate by cck-8 assay , wound heal assay , transwell assay , co-culture experiment and flow cytometry . furthermore , rna sequencing be conduct to uncover downstream pathway and cytokine , follow by subsequent validation . lastly , validation be carry out in vivo . through bioinformatics analysis , we identify that v-domain immunoglobulin suppressor of t cell activation ( vista ) serve a crucial role in immunotherapy and that it expression be regulate by m6a . it be subsequently confirm that mettl3 enhance the m6a modification level of vista mrna , which be recognize by ythdf1 . this interaction improve the stability of vista mrna , lead to increase expression of vista protein on the surface of tc . the elevated expression of vista boost the cytotoxic response of cd8 + t cell toward tc . rna sequence analysis indicate that the jak/stat pathway significantly contribute to this process . overexpression of vista on tc decrease the phosphorylation of stat3 , which in turn reduce the expression and release of ccl22 . this reduction alleviate immune suppression within the tumor microenvironment , result in increase enrichment and activity of cd8 + t cell and decreased enrichment of regulatory t cell ( tregs ) , ultimately enhance their cytotoxic effect against tc . we conduct a pioneering systematic study on the expression , function , and molecular mechanism of the vista molecule on nsclc tc . we propose that in the tumor immune microenvironment , vista function a both an immune checkpoint and a regulator of cd8 + t cell activation/recruitment and treg recruitment via it expression on tc .	Journal of translational medicine	02/10/2025
10.1001/jamaoncol.2025.3746	prostate-specific membrane antigen pet-guided intensification of salvage radiotherapy after radical prostatectomy : a phase 2 randomized clinical trial .	Belliveau C, Saad F, Duplan D, Petit C, Delouya G, Taussky D, Barkati M, Lambert C, Beauchemin MC, Clavel S, Mok G, Igidbashian L, Gauthier-Paré AS, Nguyen TV, McLaughlin PY, Keu KV, DaSilva JN, Juneau D, Ménard C	prostate-specific membrane antigen positron emission tomography ( psma-pet ) offer superior accuracy in detect prostate cancer lesion lead to intensify radiotherapy ( rt ) , but it impact on patient outcome be still undefined . to evaluate whether intensification of salvage rt ( srt ) after radical prostatectomy ( rp ) guide by psma-pet ( psmaisrt ) be associate with improved failure-free survival ( ffs ) . design , set , psmaisrt be a stratified cohort within a large psma-guided intensification of radiotherapy ( psmagrt ) trial , a phase 2 , two-center , registry-based randomized clinical trial . patient with biochemical recurrence follow rp who be eligible for standard-of-care ( soc ) srt from may 2018 to february 2021 , be eligible for randomization in the psmaisrt stratum . a total of 130 patient be randomize , with 2 who do not proceed to radiotherapy ( rt ) . the cutoff date for the primary analysis be october 26 , 2023. patient be randomize in a 1:1 ratio to receive either soc srt to the prostate bed , with or without elective pelvic rt , with or without adjuvant hormonal therapy ( ht ) , or psma-pet/ct-guided srt , intensify to detect site of disease . the primary end point be ffs , define a psa progression ( psa nadir > 0.2 ng/ml ) , radiological progression , next-line therapy initiation , or death . among 128 patient ( median [ iqr ] age , 71 [ 64-74 ] year ) , median ( range ) psa at enrollment be 0.3 ( 0.1-3.0 ) ng/ml . in the psmaisrt group , 33 of 64 patient ( 52 % ) receive intensified srt ; with addition of pelvic rt ( n = 16 [ 25 % ] ) , metastasis-directed rt ( n = 2 [ 3 % ] ) , lymph node boost ( n = 19 [ 30 % ] ) , or prostate bed boost ( n = 15 ) . adjuvant hormone therapy be equally prevalent in both arm ( 55 [ 86 % ] control vs 54 [ 84 % ] psmaisrt ) . at a median ( range ) follow-up of 37 ( 7-60 ) month , psmaisrt improve ffs ( hazard ratio [ hr ] , 0.50 ; 95 % ci , 0.27-0.94 ; p = .04 ) and eugonadal ffs ( hr , 0.45 ; 95 % ci , 0.21-0.96 ; p = .03 ) , with it great benefit in the subgroup with psa of 0.3 ng/ml or more ( hr , 0.17 ; 95 % ci , 0.04-0.79 ; p = .01 ) . few next-line treatment event occur in the psmaisrt arm ( 4 vs 12 ; hr , 0.32 ; 95 % ci , 0.11-1.02 ; p = .04 ) . there be no significant difference in toxic effect or quality of life between arm . this phase 2 trial demonstrate an isotoxic improvement in cancer control with psma-pet-guided intensification of srt after rp . confirmatory evidence be await from a subsequently accrue phase 3 trial . clinicaltrials.gov nct03525288 .	JAMA oncology	02/10/2025
10.1186/1471-2407-8-221	esophageal cancer risk by type of alcohol drinking and smoking : a case-control study in spain .	Vioque J, Barber X, Bolumar F, Porta M, Santibáñez M, de la Hera MG, Moreno-Osset E	the effect of tobacco smoking and alcohol drinking on esophageal cancer ( ec ) have never be explore in spain where black tobacco and wine consumption be quite prevalent . we estimate the independent effect of different alcoholic beverage and type of tobacco smoking on the risk of ec and it main histological cell type ( squamous cell carcinoma ) in a hospital-based case-control study in a mediterranean area of spain . we only include incident case with histologically confirm ec ( n = 202 ) . control be frequency-matched to case by age , sex and province ( n = 455 ) . information on risk factor be elicit by trained interviewer use structured questionnaire . multiple logistic regression be use to estimate adjust odds ratio and 95 % confidence interval ( ci ) . alcohol drinking and tobacco smoking be strong and independent risk factor for esophageal cancer . alcohol be a potent risk factor with a clear dose-response relationship , particularly for esophageal squamous-cell cancer . compare to never-drinkers , the risk for heavy drinker ( > or = 75 g/day of pure ethanol ) be 7.65 ( 95 % ci , 3.16-18.49 ) ; and compare with never-smokers , the risk for heavy smoker ( > or = 30 cigarettes/day ) be 5.07 ( 95 % ci , 2.06-12.47 ) . a low consumption of only wine and/or beer ( 1-24 g/d ) do not increase the risk whereas a strong positive trend be observe for all type of alcoholic beverage that include any combination of hard liquor with beer and/or wine ( p-trend < 0.00001 ) . a significant increase in ec risk be only observed for black-tobacco smoking ( 2.5-fold increase ) , not for blond tobacco . the effect for alcohol drinking be much strong when the analysis be limit to the esophageal squamous cell carcinoma ( n = 160 ) , whereas a lack of effect for adenocarcinoma be evidence . smoke cessation show a beneficial effect within ten year whereas drinking cessation do not . our study show that the risk of ec , and particularly the squamous cell type , be strongly associate with alcohol drinking . the consumption of any combination of hard liquor seem to be harmful whereas a low consumption of only wine may not . this may relate to the presence of certain antioxidant compound find in wine but practically lack in liquor . tobacco smoking be also a clear risk factor , black more than blond .	BMC cancer	01/08/2008
